scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Quant Small Cap Fund,1000,5000,0.64,3301.0,10,Sanjeev Sharma,0.03,1.3,0.92,0.03,6,Quant Mutual Fund,5,Equity,Small Cap Mutual Funds,5.4,71.4,23.2
Quant Tax Plan- Direct Growth,500,500,0.57,2779.0,10,Vasav Sahgal,0.01,1.21,0.99,0.02,6,Quant Mutual Fund,5,Equity,ELSS Mutual Funds,0.9,54.9,22.2
Quant Infrastructure Fund,1000,5000,0.64,822.0,10,Vasav Sahgal,0.02,1.33,1.02,0.02,6,Quant Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.6,61.5,21.1
Canara Robeco Small Cap Fund,1000,5000,0.47,4831.0,4,Shridatta Bhandwaldar,0.0,0.92,0.7,0.01,6,Canara Robeco Mutual Fund,5,Equity,Small Cap Mutual Funds,-0.6,51.8,
PGIM India Midcap Opportunities Fund,1000,5000,0.46,7707.0,9,Aniruddha Naha,0.0,0.95,0.75,0.01,6,PGIM India Mutual Fund,5,Equity,Mid Cap Mutual Funds,2.0,42.9,19.0
Quant Mid Cap Fund,1000,5000,0.63,1550.0,10,Sanjeev Sharma,0.04,1.21,0.91,0.04,6,Quant Mutual Fund,5,Equity,Mid Cap Mutual Funds,8.8,45.1,19.8
Quant Flexi Cap Fund,1000,5000,0.58,1044.0,10,Vasav Sahgal,0.02,1.12,0.93,0.02,6,Quant Mutual Fund,5,Equity,Flexi Cap Funds,6.8,47.7,18.2
AXIS Small Cap Fund,500,500,0.54,11462.0,9,Anupam Tiwari,0.01,0.76,0.57,0.02,6,Axis Mutual Fund,5,Equity,Small Cap Mutual Funds,3.4,34.5,19.4
Quant Multi Asset Fund,1000,5000,0.56,634.0,10,Vasav Sahgal,0.03,0.93,0.74,0.04,6,Quant Mutual Fund,5,Hybrid,Multi Asset Allocation Mutual Funds,10.6,42.6,20.5
Quant Absolute Fund,1000,5000,0.56,1013.0,10,Sanjeev Sharma,0.02,0.87,0.74,0.03,6,Quant Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,7.3,38.2,19.1
PGIM India Flexi Cap Fund,1000,100,0.4,5199.0,8,Aniruddha Naha,-0.02,0.9,0.83,-0.01,6,PGIM India Mutual Fund,5,Equity,Flexi Cap Funds,-2.3,34.0,15.7
Quant Large and Mid Cap Fund,1000,5000,0.56,652.0,10,Sanjeev Sharma,0.02,1.12,0.94,0.03,6,Quant Mutual Fund,5,Equity,Large & Mid Cap Funds,6.9,33.0,14.2
Parag Parikh Flexi Cap Fund,1000,1000,0.75,29953.0,10,Rajeev Thakkar,-0.01,0.89,0.72,0.0,6,PPFAS Mutual Fund,5,Equity,Flexi Cap Funds,2.3,33.6,17.6
SBI Contra Fund,500,5000,0.91,8340.0,10,Dinesh Balachandran,0.05,0.77,0.69,0.07,6,SBI Mutual Fund,5,Equity,Contra Funds,15.0,43.4,15.6
Invesco India Infrastructure Fund,500,1000,1.08,445.0,10,Amit Nigam,0.02,0.92,0.73,0.03,6,Invesco Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6
Motilal Oswal Midcap Fund,500,500,0.87,3769.0,9,Niket Shah,0.05,1.04,0.75,0.05,6,Motilal Oswal Mutual Fund,5,Equity,Mid Cap Mutual Funds,14.6,34.0,16.4
AXIS Midcap Fund,500,500,0.57,18920.0,10,Shreyash Devalkar,-0.01,0.88,0.74,0.0,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8
Quant Focused Fund,1000,5000,0.57,219.0,10,Sanjeev Sharma,0.01,1.09,0.93,0.02,6,Quant Mutual Fund,5,Equity,Focused Funds,5.2,33.7,13.1
Mirae Asset Emerging Bluechip Fund,1000,5000,0.68,23394.0,10,Neelesh Surana,-0.01,0.9,0.85,0.0,6,Mirae Asset Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.2,29.4,15.1
IIFL Focused Equity Fund,1000,1000,0.9,3416.0,8,Mayur Patel,0.0,0.89,0.85,0.01,6,IIFL Mutual Fund,5,Equity,Focused Funds,4.7,29.2,18.1
Nippon India Consumption Fund,100,5000,1.76,312.0,10,Amar Kalkundrikar,0.04,0.85,0.71,0.06,6,Nippon India Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,12.1,30.6,14.6
Mirae Asset Tax Saver Fund,500,500,0.54,14043.0,7,Neelesh Surana,-0.01,0.91,0.88,0.01,6,Mirae Asset Mutual Fund,5,Equity,ELSS Mutual Funds,0.6,30.3,15.3
HDFC Retirement Savings Fund,100,100,0.78,2696.0,7,Srinivasan Ramamurthy,0.03,0.8,0.73,0.05,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8
Canara Robeco Equity Tax Saver Fund,500,500,0.64,4685.0,10,Vishal Mishra,-0.01,0.9,0.88,0.0,6,Canara Robeco Mutual Fund,5,Equity,ELSS Mutual Funds,1.2,27.7,15.5
ICICI Pru Equity & Debt Fund,100,5000,1.2,21232.0,10,Sankaran Naren,0.01,0.64,0.57,0.03,6,ICICI Prudential Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,6.8,30.6,14.3
ICICI Pru Infrastructure Fund,100,5000,1.64,2269.0,10,Ihab Dalwai,0.07,0.87,0.69,0.09,6,ICICI Prudential Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,24.3,44.0,15.1
